trading_date,ref_date,rank,code,score
2026-01-13,2026-01-12,1,002446,52.0
2026-01-13,2026-01-12,2,688708,52.0
2026-01-13,2026-01-12,3,603040,50.0
2026-01-13,2026-01-12,4,002378,49.0
2026-01-13,2026-01-12,5,002602,49.0
2026-01-13,2026-01-12,6,300005,49.0
2026-01-13,2026-01-12,7,300045,49.0
2026-01-13,2026-01-12,8,002379,48.0
2026-01-13,2026-01-12,9,300909,48.0
2026-01-13,2026-01-12,10,301273,48.0
2026-03-30,2026-03-27,1,300005,51.0
2026-03-30,2026-03-27,2,000893,48.0
2026-03-30,2026-03-27,3,002848,47.0
2026-03-30,2026-03-27,4,002497,46.0
2026-03-30,2026-03-27,5,300125,46.0
2026-03-30,2026-03-27,6,300243,46.0
2026-03-30,2026-03-27,7,301003,46.0
2026-03-30,2026-03-27,8,688455,46.0
2026-03-30,2026-03-27,9,002866,45.0
2026-03-30,2026-03-27,10,300037,45.0
2026-04-22,2026-04-21,1,603268,54.0
2026-04-22,2026-04-21,2,600331,52.0
2026-04-22,2026-04-21,3,300005,50.0
2026-04-22,2026-04-21,4,001359,48.0
2026-04-22,2026-04-21,5,002848,48.0
2026-04-22,2026-04-21,6,300052,48.0
2026-04-22,2026-04-21,7,300125,48.0
2026-04-22,2026-04-21,8,301028,48.0
2026-04-22,2026-04-21,9,301086,48.0
2026-04-22,2026-04-21,10,601233,48.0
