date,nav,cash,mkt_val,positions
2022-01-04,300000.0,300000.0,0.0,0
2022-01-05,294387.38,205747.89,88639.49,1
2022-01-06,288901.01,2254.14,286646.87,3
2022-01-07,290335.59,99870.09,190465.5,2
2022-01-10,306050.17,103125.24,202924.93,2
2022-01-11,304114.98,210207.58,93907.4,1
2022-01-12,305077.78,568.47,304509.3,3
2022-01-13,299894.7,2393.73,297500.98,3
2022-01-14,300058.6,666.95,299391.65,3
2022-01-17,308369.26,3627.45,304741.81,3
2022-01-18,304192.27,6680.53,297511.74,3
2022-01-19,300748.12,108551.04,192197.09,2
2022-01-20,292451.82,609.66,291842.16,3
2022-01-21,286299.1,1458.5,284840.6,3
2022-01-24,284023.93,3754.56,280269.37,3
2022-01-25,270659.52,8872.51,261787.01,3
2022-01-26,269361.07,1771.97,267589.1,3
2022-01-27,260029.88,4.58,260025.3,3
2022-01-28,264714.96,803.71,263911.25,3
2022-02-07,258850.16,2392.89,256457.27,3
2022-02-08,262902.91,27.18,262875.73,3
2022-02-09,260785.09,1069.83,259715.26,3
2022-02-10,262598.13,1069.83,261528.29,3
2022-02-11,261228.8,1069.83,260158.96,3
2022-02-14,260537.05,585.68,259951.37,3
2022-02-15,258446.98,580.6,257866.38,3
2022-02-16,265228.41,565.81,264662.6,3
2022-02-17,271504.01,2451.81,269052.2,3
2022-02-18,273146.27,112.16,273034.11,3
2022-02-21,277756.53,432.22,277324.31,3
2022-02-22,276448.25,277.51,276170.73,3
2022-02-23,275408.95,293.38,275115.56,3
2022-02-24,270364.16,258.82,270105.34,3
2022-02-25,268669.32,546.55,268122.76,3
2022-02-28,266598.33,906.57,265691.77,3
2022-03-01,265354.97,8.55,265346.42,3
2022-03-02,266868.62,292.18,266576.43,3
2022-03-03,272483.05,1080.35,271402.7,3
2022-03-04,268994.49,500.69,268493.81,3
2022-03-07,272214.82,1729.28,270485.54,3
2022-03-08,262984.85,1044.18,261940.67,3
2022-03-09,271255.05,603.94,270651.11,3
2022-03-10,263131.85,396.41,262735.44,3
2022-03-11,263377.83,1666.5,261711.33,3
2022-03-14,253055.1,521.21,252533.89,3
2022-03-15,241316.78,308.53,241008.25,3
2022-03-16,261922.45,377.41,261545.04,3
2022-03-17,250650.15,9518.71,241131.44,3
2022-03-18,253949.62,584.2,253365.42,3
2022-03-21,254651.37,392.29,254259.08,3
2022-03-22,258023.34,568.64,257454.7,3
2022-03-23,259527.32,491.64,259035.67,3
2022-03-24,259770.94,1221.83,258549.11,3
2022-03-25,266116.52,194.68,265921.84,3
2022-03-28,264298.31,100.32,264197.98,3
2022-03-29,260161.38,1575.96,258585.42,3
2022-03-30,261662.77,49.3,261613.47,3
2022-03-31,264337.15,357.83,263979.33,3
2022-04-01,267821.87,341.09,267480.78,3
2022-04-06,263702.91,117.49,263585.42,3
2022-04-07,264918.95,121.47,264797.48,3
2022-04-08,266290.16,85.73,266204.43,3
2022-04-11,261709.72,472.07,261237.65,3
2022-04-12,261628.57,301.22,261327.35,3
2022-04-13,266661.32,198.4,266462.92,3
2022-04-14,277779.73,887.62,276892.12,3
2022-04-15,280010.23,38.09,279972.14,3
2022-04-18,283391.03,169.36,283221.67,3
2022-04-19,286962.33,477.91,286484.42,3
2022-04-20,280915.47,266.92,280648.55,3
2022-04-21,269535.76,732.67,268803.09,3
2022-04-22,274026.04,33.61,273992.43,3
2022-04-25,248800.48,733.43,248067.05,3
2022-04-26,247536.26,434.33,247101.93,3
2022-04-27,261718.5,111.64,261606.86,3
2022-04-28,263639.34,907.18,262732.16,3
2022-04-29,275609.24,853.64,274755.6,3
2022-05-05,280200.98,2110.29,278090.69,3
2022-05-06,275959.52,733.74,275225.78,3
2022-05-09,274106.61,91.07,274015.54,3
2022-05-10,268847.97,368.15,268479.82,3
2022-05-11,266771.03,349.61,266421.42,3
2022-05-12,264176.71,229.49,263947.22,3
2022-05-13,264103.01,3904.54,260198.46,3
2022-05-16,270371.06,1152.58,269218.48,3
2022-05-17,274202.12,823.84,273378.28,3
2022-05-18,269866.92,788.73,269078.19,3
2022-05-19,275783.03,239.74,275543.3,3
2022-05-20,281240.49,123.91,281116.58,3
2022-05-23,282879.56,685.68,282193.88,3
2022-05-24,282272.8,397.24,281875.57,3
2022-05-25,287160.11,114.32,287045.79,3
2022-05-26,281534.51,359.05,281175.46,3
2022-05-27,284900.41,116.55,284783.86,3
2022-05-30,283735.72,525.18,283210.53,3
2022-05-31,287080.57,766.47,286314.1,3
2022-06-01,292231.04,502.95,291728.09,3
2022-06-02,286606.16,502.95,286103.2,3
2022-06-06,291157.97,812.44,290345.53,3
2022-06-07,288062.16,31.18,288030.97,3
2022-06-08,293206.15,328.16,292877.99,3
2022-06-09,289215.45,340.42,288875.04,3
2022-06-10,302131.31,285.5,301845.81,3
2022-06-13,306678.24,520.25,306157.99,3
2022-06-14,311738.24,65.59,311672.66,3
2022-06-15,307377.4,135.98,307241.42,3
2022-06-16,315811.47,269.52,315541.95,3
2022-06-17,323386.78,401.5,322985.29,3
2022-06-20,322281.89,88.4,322193.49,3
2022-06-21,316295.01,238.39,316056.62,3
2022-06-22,322468.29,4725.72,317742.57,3
2022-06-23,324312.61,521.21,323791.4,3
2022-06-24,323639.09,214.37,323424.71,3
2022-06-27,320128.36,964.57,319163.79,3
2022-06-28,330029.86,1352.14,328677.73,3
2022-06-29,316055.29,220.2,315835.08,3
2022-06-30,329020.88,626.8,328394.08,3
2022-07-01,331079.49,1344.21,329735.27,3
2022-07-04,324283.38,1.48,324281.9,3
2022-07-05,331015.27,1898.36,329116.91,3
2022-07-06,317905.57,738.47,317167.11,3
2022-07-07,326729.37,19169.77,307559.6,3
2022-07-08,321975.87,522.66,321453.21,3
2022-07-11,319963.64,1139.25,318824.38,3
2022-07-12,321718.79,179.74,321539.05,3
2022-07-13,329148.46,1988.93,327159.53,3
2022-07-14,330219.25,540.61,329678.64,3
2022-07-15,331318.19,141.54,331176.65,3
2022-07-18,365079.58,167.9,364911.68,3
2022-07-19,374094.9,238.1,373856.8,3
2022-07-20,374466.17,181.11,374285.06,3
2022-07-21,368172.97,122.47,368050.5,3
2022-07-22,374638.09,189.3,374448.79,3
2022-07-25,367440.46,500.83,366939.63,3
2022-07-26,377638.87,1325.69,376313.18,3
2022-07-27,378694.48,188.69,378505.79,3
2022-07-28,390593.85,117.06,390476.79,3
2022-07-29,400867.3,1019.51,399847.79,3
2022-08-01,392528.02,1143.67,391384.34,3
2022-08-02,381157.75,254.21,380903.54,3
2022-08-03,372680.41,62.62,372617.79,3
2022-08-04,379392.28,69.54,379322.74,3
2022-08-05,387163.65,108.58,387055.07,3
2022-08-08,392882.51,260.44,392622.06,3
2022-08-09,390523.84,870.92,389652.92,3
2022-08-10,387058.64,565.56,386493.08,3
2022-08-11,386975.8,565.56,386410.24,3
2022-08-12,383153.16,449.8,382703.36,3
2022-08-15,381772.9,2265.68,379507.22,3
2022-08-16,380491.64,104.55,380387.09,3
2022-08-17,372537.11,2165.73,370371.38,3
2022-08-18,381267.89,2165.73,379102.15,3
2022-08-19,376730.19,971.47,375758.72,3
2022-08-22,371007.73,35.62,370972.1,3
2022-08-23,381161.53,63.13,381098.4,3
2022-08-24,375722.98,137.19,375585.79,3
2022-08-25,387547.8,146.39,387401.41,3
2022-08-26,391363.23,345.39,391017.84,3
2022-08-29,397034.02,701.06,396332.96,3
2022-08-30,394626.51,462.3,394164.21,3
2022-08-31,389973.1,180.51,389792.58,3
2022-09-01,395621.15,418.73,395202.42,3
2022-09-02,394547.99,23.58,394524.42,3
2022-09-05,405585.14,1068.63,404516.51,3
2022-09-06,417512.37,469.05,417043.32,3
2022-09-07,430218.97,469.94,429749.03,3
2022-09-08,433735.37,1832.81,431902.56,3
2022-09-09,433182.62,193.27,432989.35,3
2022-09-13,429157.32,145.15,429012.17,3
2022-09-14,427444.96,145.15,427299.81,3
2022-09-15,436178.81,21.07,436157.75,3
2022-09-16,422827.06,282.5,422544.56,3
2022-09-19,418618.17,2030.9,416587.27,3
2022-09-20,425643.07,555.06,425088.01,3
2022-09-21,441378.82,602.05,440776.77,3
2022-09-22,434064.18,2079.92,431984.26,3
2022-09-23,422539.09,820.78,421718.31,3
2022-09-26,415261.01,441.92,414819.1,3
2022-09-27,416255.05,744.69,415510.36,3
2022-09-28,412032.73,1441.65,410591.09,3
2022-09-29,411068.87,151.93,410916.94,3
2022-09-30,409525.7,515.81,409009.88,3
2022-10-10,404579.62,769.12,403810.5,3
2022-10-11,398782.41,256.82,398525.59,3
2022-10-12,415937.77,959.0,414978.77,3
2022-10-13,416702.11,776.09,415926.02,3
2022-10-14,448695.55,1502.17,447193.38,3
2022-10-17,463664.71,441.51,463223.2,3
2022-10-18,475204.41,270.06,474934.35,3
2022-10-19,474972.86,1878.68,473094.18,3
2022-10-20,460555.26,409.89,460145.37,3
2022-10-21,459852.34,303.47,459548.87,3
2022-10-24,454022.14,2260.9,451761.25,3
2022-10-25,464226.79,873.03,463353.75,3
2022-10-26,460367.13,584.32,459782.81,3
2022-10-27,451395.2,806.6,450588.61,3
2022-10-28,433473.96,188.02,433285.94,3
2022-10-31,430305.97,557.85,429748.12,3
2022-11-01,453459.89,264.47,453195.41,3
2022-11-02,455842.93,1156.94,454685.99,3
2022-11-03,459019.9,195.74,458824.16,3
2022-11-04,463229.59,195.74,463033.85,3
2022-11-07,465679.77,2317.79,463361.97,3
2022-11-08,458333.84,567.41,457766.42,3
2022-11-09,467208.88,641.86,466567.02,3
2022-11-10,470384.97,5.41,470379.56,3
2022-11-11,488629.09,1204.89,487424.21,3
2022-11-14,479856.07,160.24,479695.84,3
2022-11-15,507103.09,1031.2,506071.89,3
2022-11-16,502789.64,851.46,501938.17,3
2022-11-17,496883.71,1807.9,495075.8,3
2022-11-18,482059.94,835.84,481224.1,3
2022-11-21,486184.3,21.98,486162.32,3
2022-11-22,461399.68,503.13,460896.54,3
2022-11-23,469073.74,279.06,468794.68,3
2022-11-24,489367.4,1628.9,487738.5,3
2022-11-25,473617.47,102.28,473515.19,3
2022-11-28,471660.35,170.2,471490.15,3
2022-11-29,476785.98,914.44,475871.54,3
2022-11-30,480820.17,87.08,480733.09,3
2022-12-01,488912.9,106.21,488806.69,3
2022-12-02,489793.47,1270.77,488522.7,3
2022-12-05,497307.83,665.48,496642.34,3
2022-12-06,498730.9,145.62,498585.27,3
2022-12-07,493272.36,98.37,493173.99,3
2022-12-08,496420.02,22.81,496397.21,3
2022-12-09,486949.81,649.42,486300.38,3
2022-12-12,485633.29,836.81,484796.48,3
2022-12-13,486658.43,1000.63,485657.8,3
2022-12-14,491580.17,348.99,491231.18,3
2022-12-15,494364.92,155.75,494209.17,3
2022-12-16,490344.88,427.9,489916.98,3
2022-12-19,475882.2,789.51,475092.69,3
2022-12-20,471228.02,1955.72,469272.3,3
2022-12-21,451250.15,793.62,450456.53,3
2022-12-22,452017.73,5501.7,446516.03,3
2022-12-23,446711.38,165.5,446545.88,3
2022-12-26,457237.59,417.28,456820.31,3
2022-12-27,465301.48,281.29,465020.19,3
2022-12-28,460701.45,1114.45,459587.0,3
2022-12-29,463324.84,46.08,463278.76,3
2022-12-30,469192.03,968.12,468223.91,3
