date,code,direction,price,quantity,sell_type,pnl,pnl_pct,days_held,commission,stamp_tax
2024-01-02,600114,buy,15.336,6500,,,,,24.92,0.0
2024-01-02,603226,buy,7.254,13800,,,,,25.03,0.0
2024-01-02,600985,buy,15.159,6600,,,,,25.01,0.0
2024-01-03,600114,sell,14.876,6500,hard_stop,-3111.3,-0.0312,1.0,24.16,48.32
2024-01-03,603226,sell,7.49,13800,trailing_stop,3132.81,0.0313,1.0,25.83,51.66
2024-01-03,600985,sell,15.348,6600,trailing_stop,1116.8,0.0112,1.0,25.31,50.62
2024-01-03,600422,buy,21.49,4600,,,,,24.71,0.0
2024-01-03,600599,buy,16.198,6200,,,,,25.11,0.0
2024-01-03,002353,buy,27.304,3700,,,,,25.26,0.0
2024-01-04,600422,sell,20.845,4600,hard_stop,-3085.44,-0.0312,1.0,23.96,47.92
2024-01-04,600012,buy,10.878,8800,,,,,23.93,0.0
2024-01-04,600599,sell,16.87,6200,trailing_stop,4035.11,0.0402,1.0,26.14,52.27
2024-01-04,603379,buy,34.431,3000,,,,,25.82,0.0
2024-01-05,002353,sell,27.963,3700,trailing_stop,2306.43,0.0228,2.0,25.85,51.7
2024-01-05,603379,sell,35.442,3000,trailing_stop,2899.54,0.0281,1.0,26.57,53.14
2024-01-05,600706,buy,15.968,6600,,,,,26.35,0.0
2024-01-05,600983,buy,9.121,11600,,,,,26.45,0.0
2024-01-08,600706,sell,15.489,6600,hard_stop,-3289.41,-0.0312,1.0,25.54,51.09
2024-01-08,600983,sell,8.924,11600,hard_stop,-2418.11,-0.0229,1.0,25.87,51.73
2024-01-08,600599,buy,16.778,6100,,,,,25.59,0.0
2024-01-08,600706,buy,15.718,6500,,,,,25.54,0.0
2024-01-09,600012,sell,10.678,8800,soft_stop,-1872.34,-0.0196,2.0,23.48,46.96
2024-01-09,600599,sell,16.275,6100,hard_stop,-3194.5,-0.0312,1.0,24.81,49.61
2024-01-09,600599,buy,15.698,6100,,,,,23.94,0.0
2024-01-09,600983,buy,9.228,10600,,,,,24.45,0.0
2024-01-10,600706,sell,15.55,6500,hard_stop,-1217.36,-0.0119,2.0,25.26,50.51
2024-01-10,600599,sell,16.3,6100,trailing_stop,3548.9,0.0371,1.0,24.85,49.69
2024-01-10,600983,sell,9.416,10600,trailing_stop,1869.52,0.0191,1.0,24.94,49.88
2024-01-10,600012,buy,10.841,9200,,,,,24.93,0.0
2024-01-10,603379,buy,33.089,3000,,,,,24.82,0.0
2024-01-10,002353,buy,26.93,3700,,,,,24.91,0.0
2024-01-11,603379,sell,32.358,3000,hard_stop,-2315.05,-0.0233,1.0,24.26,48.51
2024-01-11,600599,buy,16.338,6000,,,,,24.51,0.0
2024-01-11,600012,sell,10.595,9200,hard_stop,-2381.24,-0.0239,1.0,24.36,48.71
2024-01-11,600605,buy,26.004,3700,,,,,24.05,0.0
2024-01-12,002353,sell,27.655,3700,trailing_stop,2557.16,0.0257,2.0,25.57,51.14
2024-01-12,600599,sell,15.848,6000,hard_stop,-3059.69,-0.0312,1.0,23.76,47.52
2024-01-12,600012,buy,10.619,9300,,,,,24.69,0.0
2024-01-12,600983,buy,9.247,10800,,,,,24.97,0.0
2024-01-16,600012,sell,10.762,9300,trailing_stop,1200.11,0.0122,2.0,25.01,50.02
2024-01-16,600706,buy,16.288,6100,,,,,24.84,0.0
2024-01-17,600605,sell,25.515,3700,soft_stop,-1928.93,-0.02,3.0,23.59,47.18
2024-01-17,600706,sell,16.1,6100,hard_stop,-1270.38,-0.0128,1.0,24.54,49.08
2024-01-17,600012,buy,10.924,8800,,,,,24.03,0.0
2024-01-17,002353,buy,28.111,3400,,,,,23.89,0.0
2024-01-17,600983,sell,9.416,10800,trailing_stop,1696.52,0.017,3.0,25.41,50.82
2024-01-17,600983,buy,9.42,10900,,,,,25.67,0.0
2024-01-18,002353,sell,27.559,3400,hard_stop,-1992.55,-0.0208,1.0,23.41,46.83
2024-01-18,600983,sell,9.155,10900,hard_stop,-3012.29,-0.0293,1.0,24.94,49.87
2024-01-18,603221,buy,10.573,9100,,,,,24.05,0.0
2024-01-18,603610,buy,12.814,7500,,,,,24.03,0.0
2024-01-18,600012,sell,10.623,8800,hard_stop,-2766.12,-0.0288,1.0,23.36,46.72
2024-01-18,600621,buy,13.592,6900,,,,,23.45,0.0
2024-01-19,603610,sell,12.429,7500,hard_stop,-2999.6,-0.0312,1.0,23.29,46.59
2024-01-19,600621,sell,13.634,6900,trailing_stop,174.46,0.0019,1.0,23.51,47.01
2024-01-19,600012,buy,10.933,8500,,,,,23.23,0.0
2024-01-19,600373,buy,12.349,7600,,,,,23.46,0.0
2024-01-22,600012,sell,10.715,8500,hard_stop,-1966.18,-0.0212,1.0,22.76,45.52
2024-01-22,600373,sell,12.325,7600,trailing_stop,-303.13,-0.0032,1.0,23.41,46.81
2024-01-22,600012,buy,10.73,8600,,,,,23.07,0.0
2024-01-22,601799,buy,135.576,600,,,,,20.34,0.0
2024-01-22,603221,sell,10.265,9100,hard_stop,-2914.9,-0.0303,2.0,23.34,46.68
2024-01-22,601898,buy,9.704,10800,,,,,26.2,0.0
2024-01-23,600012,sell,10.408,8600,hard_stop,-2880.2,-0.0312,1.0,22.37,44.73
2024-01-23,601799,sell,131.996,600,hard_stop,-2247.09,-0.0276,1.0,19.79,39.58
2024-01-23,600621,buy,13.444,6200,,,,,20.84,0.0
2024-01-23,601225,buy,20.275,4200,,,,,21.29,0.0
2024-01-24,601898,sell,9.899,10800,trailing_stop,1979.84,0.0189,2.0,26.71,53.43
2024-01-24,600621,sell,13.899,6200,trailing_stop,2713.0,0.0325,1.0,21.53,43.07
2024-01-24,601898,buy,9.986,9600,,,,,23.97,0.0
2024-01-24,603798,buy,11.012,8800,,,,,24.23,0.0
2024-01-24,601225,sell,20.852,4200,trailing_stop,2311.81,0.0271,1.0,21.88,43.77
2024-01-24,600621,buy,14.201,6100,,,,,21.66,0.0
2024-01-25,601898,sell,10.328,9600,trailing_stop,3153.48,0.0329,1.0,24.77,49.55
2024-01-25,603798,sell,10.682,8800,hard_stop,-3024.75,-0.0312,1.0,23.49,46.98
2024-01-25,600621,sell,16.286,6100,trailing_stop,12595.21,0.1454,1.0,24.82,49.65
2024-01-25,601898,buy,10.406,9300,,,,,24.19,0.0
2024-01-25,601928,buy,8.155,12000,,,,,24.46,0.0
2024-01-25,601225,buy,20.987,4600,,,,,24.13,0.0
2024-01-26,601898,sell,10.902,9300,trailing_stop,4487.46,0.0464,1.0,25.33,50.67
2024-01-26,601928,sell,8.395,12000,trailing_stop,2756.11,0.0282,1.0,25.17,50.34
