date,code,rank,in_daily_ok,hot_filtered,in_cooled,vol_ok,trend,ret_20d_pct,vol_ratio,price
2026-01-05,688708,0,1,0,0,0,OSCILLATING,7.35,1.42,62.25
2026-01-05,603040,1,1,0,0,0,RISING,14.43,0.92,91.99
2026-01-05,000657,2,1,0,0,0,RISING,24.37,0.65,27.71
2026-01-05,002378,3,1,0,0,0,RISING,11.74,0.68,14.18
2026-01-05,002446,4,1,0,0,0,RISING,19.75,1.31,10.49
2026-01-05,603268,5,1,0,0,0,RISING,1.04,0.8,83.38
2026-01-05,688258,6,1,0,0,1,OSCILLATING,16.83,1.99,76.57
2026-01-05,002379,7,1,0,0,0,RISING,6.98,0.6,23.696
2026-01-05,300005,8,1,0,0,0,OSCILLATING,8.63,0.6,10.83
2026-01-05,301273,9,0,0,0,0,,0,,0
2026-01-05,300045,10,1,0,0,1,RISING,27.24,1.52,28.91
2026-01-05,300909,11,1,0,0,0,RISING,8.85,0.87,48.1
2026-01-05,600259,12,1,0,0,0,OSCILLATING,8.21,0.77,56.171
2026-01-05,603979,13,1,0,0,0,RISING,10.38,1.23,76.15
2026-01-05,688125,14,1,1,0,0,RISING,93.2,1.0,135.05
2026-01-05,688367,15,0,0,0,0,,0,,0
2026-01-05,000408,16,1,0,0,0,RISING,26.14,0.79,82.96
2026-01-05,000960,17,1,0,0,0,RISING,4.38,0.86,27.62
2026-01-05,300053,18,1,0,0,0,RISING,15.48,0.98,19.02
2026-01-05,300455,19,1,0,0,0,RISING,10.12,1.0,30.04
2026-01-05,300499,20,1,0,0,0,RISING,19.15,0.91,30.68
2026-01-05,300762,21,1,0,0,0,RISING,34.84,0.95,41.68
2026-01-05,301003,22,0,0,0,0,,0,,0
2026-01-05,301227,23,0,0,0,0,,0,,0
2026-01-05,301369,24,1,0,0,0,RISING,25.36,0.52,133.9
2026-01-05,601689,25,1,0,0,1,RISING,15.71,1.5,77.18
2026-01-05,688372,26,1,0,0,0,RISING,16.05,0.95,109.09
2026-01-05,688678,27,1,0,0,0,OSCILLATING,-2.11,1.02,17.211
2026-01-05,000608,28,0,0,0,0,,0,,0
2026-01-05,000901,29,1,1,0,0,RISING,47.51,1.0,28.47
2026-01-05,002171,30,1,0,0,1,RISING,14.9,1.61,13.26
2026-01-05,002342,31,1,0,0,0,RISING,27.96,4.67,9.2
2026-01-05,002842,32,1,0,0,0,RISING,29.45,0.82,14.46
2026-01-05,300137,33,1,0,0,0,RISING,28.86,0.62,10.36
2026-01-05,300680,34,1,0,0,1,RISING,19.38,1.52,55.87
2026-01-05,300756,35,1,0,0,0,OSCILLATING,6.52,1.01,56.88
2026-01-05,301070,36,1,0,0,0,RISING,7.55,0.61,61.55
2026-01-05,600577,37,1,0,0,0,RISING,24.3,1.2,12.43
2026-01-05,601168,38,1,0,0,0,RISING,10.25,1.37,27.605
2026-01-05,601233,39,1,0,0,0,RISING,13.97,0.74,17.21
2026-01-05,601777,40,1,0,0,0,OSCILLATING,4.83,0.63,10.63
2026-01-05,605365,41,1,1,0,0,RISING,40.45,1.0,26.46
2026-01-05,688017,42,1,0,0,1,RISING,25.38,2.17,192.1
2026-01-05,688322,43,1,0,0,0,RISING,10.05,1.18,89.67
2026-01-05,688386,44,1,0,0,1,RISING,21.3,1.93,87.6
2026-01-05,688456,45,1,1,0,0,RISING,68.11,1.0,77.7
2026-01-05,688489,46,0,0,0,0,,0,,0
2026-01-05,688627,47,1,0,0,0,RISING,15.85,1.49,223.59
2026-01-05,000426,48,1,0,0,0,OSCILLATING,2.56,1.15,35.6
2026-01-05,002028,49,1,0,0,0,RISING,3.06,0.51,154.59
