date,code,buy_hm,prev_close,day_open,bar_open,bar_high,bar_low,bar_close,current_chg_pct,buy_px_raw,actual_px,qty,fee,cash_after
2026-01-05,300045,11:25,28.91,30.0,29.98,31.2,29.98,30.2,4.462,30.2,30.204,1900,5.0,242606.393
2026-01-07,002379,14:40,27.054,27.421,27.549,27.569,27.49,27.53,1.758,27.53,27.534,2100,5.0,238399.019
2026-01-07,000960,14:40,30.82,31.375,31.89,31.89,31.742,31.801,3.182,31.801,31.806,1800,5.0,181143.422
2026-01-09,002446,09:40,11.38,11.48,11.55,11.79,11.51,11.75,3.251,11.75,11.752,5100,5.118,121204.315
2026-01-09,688122,09:40,83.5,84.0,86.13,87.16,85.53,87.16,4.383,87.16,87.173,600,5.0,68895.47
2026-01-09,688708,10:00,67.76,68.3,67.94,69.14,67.76,68.98,1.8,68.98,68.99,900,5.303,6798.856
2026-01-13,002602,13:10,19.38,19.6,19.99,20.0,19.86,19.87,2.528,19.87,19.873,3200,5.431,1212.532
2026-01-22,300005,09:40,13.42,13.52,13.5,13.73,13.5,13.72,2.236,13.72,13.722,4100,5.0,943.953
2026-01-28,300483,10:10,16.66,16.75,16.43,16.88,16.37,16.88,1.321,16.88,16.883,3500,5.046,1266.281
2026-02-03,600331,09:45,14.63,14.76,14.73,14.81,14.66,14.79,1.094,14.79,14.792,4000,5.053,119597.781
2026-02-03,601233,09:50,20.09,20.49,20.82,20.87,20.57,20.64,2.738,20.64,20.643,2800,5.0,61792.112
2026-02-11,300736,10:30,20.7,20.9,20.81,21.13,20.75,21.07,1.787,21.07,21.073,2900,5.219,674.728
2026-03-04,300189,09:40,8.4,8.5,8.9,8.96,8.7,8.85,5.357,8.85,8.851,9000,6.803,867.051
2026-03-05,600525,09:45,5.4,5.43,5.42,5.51,5.42,5.5,1.852,5.5,5.501,12000,5.637,66378.404
2026-03-05,603268,09:50,117.5,118.65,121.2,121.48,120.48,120.54,2.587,120.54,120.558,500,5.148,6094.216
2026-03-17,600773,14:15,17.32,17.5,17.81,17.81,17.74,17.74,2.425,17.74,17.743,3300,5.0,1541.935
2026-03-24,603398,09:40,10.87,11.03,11.06,11.2,11.03,11.09,2.024,11.09,11.092,5000,5.0,224010.212
2026-03-24,600468,09:40,9.06,9.24,9.33,9.35,9.2,9.26,2.208,9.26,9.261,6000,5.0,168436.878
2026-03-24,600563,10:10,120.03,122.1,121.35,122.8,121.2,122.21,1.816,122.21,122.228,400,5.0,119540.545
2026-04-01,002866,09:40,21.698,21.948,21.579,22.217,21.569,22.197,2.299,22.197,22.201,2500,5.0,115951.454
2026-04-01,300342,09:40,51.08,52.08,51.3,52.46,51.24,52.42,2.623,52.42,52.428,1100,5.0,58275.805
2026-04-07,002620,09:40,8.93,9.07,9.15,9.19,9.07,9.16,2.576,9.16,9.161,6000,5.0,55157.938
2026-04-14,605100,14:50,44.86,45.76,45.7,45.9,45.64,45.89,2.296,45.89,45.897,1200,5.0,76.677
2026-04-29,600338,09:40,25.1,25.24,25.99,26.08,25.54,25.83,2.908,25.83,25.834,1700,5.0,1832.776
2026-04-30,688378,09:40,43.15,43.5,43.88,43.99,43.59,43.61,1.066,43.61,43.617,1700,6.332,552.87
