date,code,sell_hm,sell_type,buy_price_pos,highest_price_at_trigger,bar_open,bar_high,bar_low,bar_close,hard_stop_px,trigger_px,limit_px,sell_price,qty,pnl,days_held,fee,cash_after
2026-01-07,300045,14:40,hard_stop,30.204,30.71,28.33,28.34,28.24,28.25,28.241,27.025,26.971,28.241,1900,-3770.133,2,31.825,296224.867
2026-01-13,688708,13:10,hard_stop,68.99,70.39,64.85,64.85,64.5,64.5,64.506,61.943,61.819,64.506,900,-4078.667,2,34.023,64811.501
2026-01-20,002446,10:15,hard_stop,11.752,14.67,11.06,11.06,10.94,10.95,10.988,12.91,12.884,10.988,5100,-3937.13,7,33.015,57209.391
2026-01-28,002602,09:50,hard_stop,19.873,20.85,18.71,18.76,18.57,18.6,18.581,18.348,18.311,18.581,3200,-4177.302,11,34.803,60360.189
2026-01-30,000960,09:40,trailing_stop,31.806,47.816,40.825,40.944,40.14,40.17,29.738,42.078,41.994,40.825,1800,16180.341,17,43.012,74697.219
2026-02-02,300483,09:40,hard_stop,16.883,18.83,16.08,16.26,15.99,16.07,15.785,16.57,16.537,15.785,3500,-3881.683,3,32.62,129904.398
2026-02-02,688122,14:50,hard_stop,87.173,110.0,81.84,81.92,81.49,81.49,81.507,96.8,96.606,81.507,600,-3436.534,16,29.448,178771.708
2026-03-04,600331,09:40,trailing_stop,14.792,22.75,20.47,20.94,20.47,20.63,13.831,20.02,19.98,19.98,4000,20692.2,15,46.778,80535.802
2026-03-04,300736,14:20,hard_stop,21.073,21.93,20.1,20.11,19.47,19.47,19.703,19.298,19.26,19.703,2900,-4014.427,9,33.566,57964.789
2026-03-05,300189,09:40,hard_stop,8.851,9.92,8.37,8.37,8.1,8.31,8.276,8.73,8.712,8.276,9000,-5232.796,1,43.596,132393.941
2026-03-17,601233,14:15,hard_stop,20.643,26.01,19.36,19.36,19.27,19.32,19.301,22.889,22.843,19.301,2800,-3797.168,24,32.018,60097.717
2026-03-19,600773,10:15,hard_stop,17.743,18.13,16.7,16.72,16.58,16.59,16.589,15.954,15.922,16.589,3300,-3846.381,2,32.368,56246.335
2026-03-23,002379,09:40,hard_stop,27.534,33.097,25.667,25.865,25.132,25.865,25.744,29.125,29.067,25.744,2100,-3798.492,47,32.027,110268.692
2026-03-23,300005,09:40,hard_stop,13.722,15.4,12.5,12.54,12.22,12.49,12.83,13.552,13.525,12.5,4100,-5048.746,36,30.621,161480.383
2026-03-23,600525,09:40,hard_stop,5.501,6.11,5.2,5.22,5.11,5.2,5.143,5.377,5.366,5.143,12000,-4336.026,12,36.125,223154.257
2026-03-23,603268,14:10,hard_stop,120.558,132.5,113.94,113.94,112.01,112.01,112.722,116.6,116.367,112.722,500,-3959.768,12,33.176,279473.529
2026-03-30,600468,09:40,hard_stop,9.261,10.39,8.82,8.82,8.6,8.6,8.659,9.143,9.125,8.659,6000,-3650.709,4,30.974,171458.17
2026-04-02,002866,14:05,hard_stop,22.201,22.267,20.791,20.801,20.751,20.771,20.758,19.595,19.556,20.758,2500,-3646.339,1,30.943,110131.182
2026-04-28,600563,10:05,hard_stop,122.228,143.03,114.73,114.73,113.48,113.49,114.284,125.866,125.615,114.283,400,-3212.647,24,27.853,45755.363
2026-04-30,300342,09:40,trailing_stop,52.428,75.49,66.5,67.0,65.69,67.0,49.02,66.431,66.298,66.298,1100,15203.897,20,42.686,74707.323
2026-04-30,603398,,end_of_sim,11.092,13.17,,,,,10.371,11.59,11.566,12.45,5000,6745.909,26,36.436,62757.097
2026-04-30,002620,,end_of_sim,9.161,10.97,,,,,8.566,9.654,9.634,9.98,6000,4867.726,17,35.048,122593.066
2026-04-30,605100,,end_of_sim,45.897,53.22,,,,,42.914,46.834,46.74,49.04,1200,3728.468,12,34.444,181397.795
2026-04-30,600338,,end_of_sim,25.834,28.25,,,,,24.155,24.86,24.81,27.6,1700,2966.919,1,28.456,228282.3
2026-04-30,688378,,end_of_sim,43.617,44.46,,,,,40.782,39.125,39.047,44.31,1700,1123.491,0,44.09,303553.911
